name ,cod_imdb,year,win
American Hustle ,1800241,2013,0
Captain Phillips ,1535109,2013,0
Dallas Buyers Club ,790636,2013,0
Gravity ,1454468,2013,0
Her ,1798709,2013,0
Nebraska ,1821549,2013,0
Philomena ,2431286,2013,0
12 Years a Slave ,2024544,2013,1
The Wolf of Wall Street ,993846,2013,0
American Sniper ,2179136,2014,0
Birdman or (The Unexpected Virtue of Ignorance) ,2562232,2014,1
Boyhood ,1065073,2014,0
The Grand Budapest Hotel ,2278388,2014,0
The Imitation Game ,2084970,2014,0
Selma ,1020072,2014,0
The Theory of Everything ,2980516,2014,0
Whiplash ,2582802,2014,0